Email,Course
jt203@illinois.edu,CS 433
jt203@illinois.edu,CS 484
jt203@illinois.edu,CS 540
jt203@illinois.edu,CS 584
jt203@illinois.edu,CS 498
jt203@illinois.edu,CS 511
jt203@illinois.edu,CS 514
jt203@illinois.edu,CS 565
jt3420@illinois.edu,CS 540
jt3420@illinois.edu,CS 469
jt3420@illinois.edu,CS 414
jt3420@illinois.edu,CS 514
jt3420@illinois.edu,CS 575
jt3420@illinois.edu,CS 588
jt3420@illinois.edu,CS 361
jt3420@illinois.edu,CS 126
jt4542@illinois.edu,CS 196
jt4542@illinois.edu,CS 409
jt4542@illinois.edu,CS 422
jt4542@illinois.edu,CS 549
jt4542@illinois.edu,CS 403
jt4542@illinois.edu,CS 599
jt4542@illinois.edu,CS 576
jt4542@illinois.edu,CS 107
jt5749@illinois.edu,CS 521
jt5749@illinois.edu,CS 580
jt5749@illinois.edu,CS 403
jt5749@illinois.edu,CS 467
jt5749@illinois.edu,CS 443
jt5749@illinois.edu,CS 540
jt5749@illinois.edu,CS 428
jt5749@illinois.edu,CS 555
jt666@illinois.edu,CS 107
jt666@illinois.edu,CS 125
jt666@illinois.edu,CS 573
jt666@illinois.edu,CS 407
jt666@illinois.edu,CS 474
jt666@illinois.edu,CS 536
jt666@illinois.edu,CS 500
jt666@illinois.edu,CS 296
jt4088@illinois.edu,CS 526
jt4088@illinois.edu,CS 265
jt4088@illinois.edu,CS 447
jt4088@illinois.edu,CS 429
jt4088@illinois.edu,CS 528
jt4088@illinois.edu,CS 402
jt4088@illinois.edu,CS 476
jt4088@illinois.edu,CS 101
jt1715@illinois.edu,CS 546
jt1715@illinois.edu,CS 554
jt1715@illinois.edu,CS 340
jt1715@illinois.edu,CS 443
jt1715@illinois.edu,CS 433
jt1715@illinois.edu,CS 464
jt1715@illinois.edu,CS 538
jt1715@illinois.edu,CS 409
jt2221@illinois.edu,CS 522
jt2221@illinois.edu,CS 513
jt2221@illinois.edu,CS 241
jt2221@illinois.edu,CS 440
jt2221@illinois.edu,CS 296
jt2221@illinois.edu,CS 500
jt2221@illinois.edu,CS 357
jt2221@illinois.edu,CS 497
jt1671@illinois.edu,CS 547
jt1671@illinois.edu,CS 424
jt1671@illinois.edu,CS 410
jt1671@illinois.edu,CS 425
jt1671@illinois.edu,CS 125
jt1671@illinois.edu,CS 412
jt1671@illinois.edu,CS 473
jt1671@illinois.edu,CS 481
jt3941@illinois.edu,CS 397
jt3941@illinois.edu,CS 500
jt3941@illinois.edu,CS 411
jt3941@illinois.edu,CS 476
jt3941@illinois.edu,CS 563
jt3941@illinois.edu,CS 511
jt3941@illinois.edu,CS 361
jt3941@illinois.edu,CS 445
jt500@illinois.edu,CS 468
jt500@illinois.edu,CS 475
jt500@illinois.edu,CS 433
jt500@illinois.edu,CS 528
jt500@illinois.edu,CS 511
jt500@illinois.edu,CS 341
jt500@illinois.edu,CS 544
jt500@illinois.edu,CS 526
jt2438@illinois.edu,CS 588
jt2438@illinois.edu,CS 196
jt2438@illinois.edu,CS 474
jt2438@illinois.edu,CS 210
jt2438@illinois.edu,CS 574
jt2438@illinois.edu,CS 544
jt2438@illinois.edu,CS 548
jt2438@illinois.edu,CS 414
jt391@illinois.edu,CS 519
jt391@illinois.edu,CS 233
jt391@illinois.edu,CS 597
jt391@illinois.edu,CS 443
jt391@illinois.edu,CS 582
