Name,Email,Major
Johnny Test25120,jt25120@illinois.edu,"Communication, BALAS"
Johnny Test25862,jt25862@illinois.edu,"Molecular & Cellular Biology, BSLAS"
Johnny Test34352,jt34352@illinois.edu,"Agronomy, BS"
Johnny Test47616,jt47616@illinois.edu,"Theoretical and Applied Mechanics, MS"
Johnny Test38018,jt38018@illinois.edu,"Geography, MS"
Johnny Test54311,jt54311@illinois.edu,"Astronomy, PhD"
Johnny Test16702,jt16702@illinois.edu,"Linguistics, BALAS"
Johnny Test53401,jt53401@illinois.edu,"Anthropology, PhD"
Johnny Test24339,jt24339@illinois.edu,"Spanish (Teaching), BA"
Johnny Test36257,jt36257@illinois.edu,"Computer Engineering, BS"
Johnny Test48588,jt48588@illinois.edu,"Chemistry, MS"
Johnny Test41761,jt41761@illinois.edu,"Educational Psychology, PhD"
Johnny Test39796,jt39796@illinois.edu,"Nuclear, Plasma, & Radiological Engineering, MS"
Johnny Test12303,jt12303@illinois.edu,"Speech & Hearing Science, BS"
Johnny Test29984,jt29984@illinois.edu,"Art Education, BFA"
Johnny Test50754,jt50754@illinois.edu,"French, MA"
Johnny Test31304,jt31304@illinois.edu,"Spanish (Teaching), BA"
Johnny Test11798,jt11798@illinois.edu,"Lyric Theatre, BMA"
Johnny Test9359,jt9359@illinois.edu,"Instrumental Music, BMUS"
Johnny Test32948,jt32948@illinois.edu,"Jazz Performance, BMUS"
Johnny Test25721,jt25721@illinois.edu,"Industrial Engineering, BS"
Johnny Test21279,jt21279@illinois.edu,"Middle Grades Education, BS"
Johnny Test44848,jt44848@illinois.edu,"Landscape Architecture, PhD"
Johnny Test5107,jt5107@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test54198,jt54198@illinois.edu,"Psychology, MS"
Johnny Test52796,jt52796@illinois.edu,"Human Resources & Industrial Relations, PhD"
Johnny Test1809,jt1809@illinois.edu,"Computer Science + Economics, BSLAS"
Johnny Test51583,jt51583@illinois.edu,"Cell and Developmental Biology, MS"
Johnny Test1114,jt1114@illinois.edu,"Computer Science + Bioengineering, BS"
Johnny Test19375,jt19375@illinois.edu,"Geology, BS"
Johnny Test30727,jt30727@illinois.edu,"Italian, BALAS"
Johnny Test4090,jt4090@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test39782,jt39782@illinois.edu,Romance Linguistics
Johnny Test52927,jt52927@illinois.edu,"East Asian Languages & Cultures, MA"
Johnny Test39840,jt39840@illinois.edu,"Informatics, PhD"
Johnny Test13954,jt13954@illinois.edu,"Agricultural Leadership, Education, & Communications, BS"
Johnny Test5921,jt5921@illinois.edu,"Electrical & Computer Engineering, MEng"
Johnny Test54159,jt54159@illinois.edu,"Molecular & Cellular Biology, MS"
Johnny Test43208,jt43208@illinois.edu,"History, PhD"
Johnny Test17771,jt17771@illinois.edu,"African American Studies, BALAS"
Johnny Test5048,jt5048@illinois.edu,"Computer Science, MCS"
Johnny Test35321,jt35321@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test8880,jt8880@illinois.edu,"Chemistry, BS"
Johnny Test6824,jt6824@illinois.edu,"Crop Sciences, BS"
Johnny Test54936,jt54936@illinois.edu,"Chemical Engineering, PhD"
Johnny Test14650,jt14650@illinois.edu,"Journalism, BS"
Johnny Test2946,jt2946@illinois.edu,"Computer Science + Education, BS"
Johnny Test6571,jt6571@illinois.edu,"Linguistics and Teaching English as a Second Language (TESL), BALAS"
Johnny Test42824,jt42824@illinois.edu,"Accountancy, PhD"
Johnny Test25997,jt25997@illinois.edu,"Econometrics & Quantitative Economics, BSLAS"
Johnny Test18113,jt18113@illinois.edu,"Interdisciplinary Health Sciences, BS"
Johnny Test6120,jt6120@illinois.edu,"Political Science, BALAS"
Johnny Test6150,jt6150@illinois.edu,"Music, BA"
Johnny Test14773,jt14773@illinois.edu,"Industrial Engineering, BS"
Johnny Test12099,jt12099@illinois.edu,"Plant Biotechnology, BS"
Johnny Test35445,jt35445@illinois.edu,"Engineering Mechanics, BS"
Johnny Test45484,jt45484@illinois.edu,"Philosophy, PhD"
Johnny Test32728,jt32728@illinois.edu,"Special Education, BS"
Johnny Test35872,jt35872@illinois.edu,"Bioengineering, BS"
Johnny Test26209,jt26209@illinois.edu,"Art & Art History, BFA"
Johnny Test4421,jt4421@illinois.edu,"Bioinformatics, MS"
Johnny Test32646,jt32646@illinois.edu,"Neural Engineering, BS"
Johnny Test49155,jt49155@illinois.edu,"Applied Mathematics, MS"
Johnny Test21295,jt21295@illinois.edu,"Latina/Latino Studies, BALAS"
Johnny Test27650,jt27650@illinois.edu,"Innovation, Leadership & Engineering Entrepreneurship, BS (ILEE)"
Johnny Test53036,jt53036@illinois.edu,"Education Policy, Organization & Leadership, PhD"
