Email,Major Name,Degree Type
jt203@illinois.edu,Computer Science + Education, BS
jt3420@illinois.edu,Computer Science + Music, BS
jt4542@illinois.edu,Computer Science + Advertising, BS
jt5749@illinois.edu,Computer Science + Anthropology, BSLAS
jt666@illinois.edu,Computer Science + Astronomy, BSLAS
jt4088@illinois.edu,Computer Science + Animal Sciences, BS
jt1715@illinois.edu,Computer Science + Crop Sciences, BS
jt2221@illinois.edu,Computer Science, BS
jt1671@illinois.edu,Computer Science + Animal Sciences, BS
jt3941@illinois.edu,Computer Science + Physics, BS
jt500@illinois.edu,Computer Science + Education, BS
jt2438@illinois.edu,Computer Science + Advertising, BS
jt391@illinois.edu,Computer Science + Anthropology, BSLAS
jt4344@illinois.edu,Computer Science + Advertising, BS
jt2946@illinois.edu,Computer Science + Music, BS
jt5123@illinois.edu,Computer Science + Chemistry, BSLAS
jt3850@illinois.edu,Computer Science + Astronomy, BSLAS
jt1616@illinois.edu,Mathematics & Computer Science, BSLAS
jt1380@illinois.edu,Computer Science + Bioengineering, BS
jt2925@illinois.edu,Computer Science + Education, BS
jt1148@illinois.edu,Computer Science + Education, BS
jt642@illinois.edu,Computer Science + Bioengineering, BS
jt1995@illinois.edu,Computer Engineering, BS
jt802@illinois.edu,Computer Science + Anthropology, BSLAS
jt5112@illinois.edu,Computer Science + Physics, BS
jt2963@illinois.edu,Computer Engineering, BS
jt4098@illinois.edu,Mathematics & Computer Science, BSLAS
jt2070@illinois.edu,Computer Science + Astronomy, BSLAS
jt2399@illinois.edu,Computer Science + Linguistics, BSLAS
jt1344@illinois.edu,Computer Science + Bioengineering, BS
jt2793@illinois.edu,Computer Science + Advertising, BS
jt5880@illinois.edu,Computer Engineering, BS
jt576@illinois.edu,Computer Science + Bioengineering, BS
jt4729@illinois.edu,Computer Science + Bioengineering, BS
jt4515@illinois.edu,Computer Science + Chemistry, BSLAS
jt417@illinois.edu,Computer Science + Music, BS
jt4628@illinois.edu,Computer Engineering, BS
jt139@illinois.edu,Computer Science + Physics, BS
jt4996@illinois.edu,Computer Science + Advertising, BS
jt127@illinois.edu,Computer Science + Economics, BSLAS
jt1098@illinois.edu,Computer Science + Astronomy, BSLAS
jt1144@illinois.edu,Computer Science + Anthropology, BSLAS
jt2158@illinois.edu,Computer Science & Music, BS
jt1652@illinois.edu,Computer Science + Crop Sciences, BS
jt3272@illinois.edu,Mathematics & Computer Science, BSLAS
jt5296@illinois.edu,Computer Science + Education, BS
jt4492@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt5707@illinois.edu,Computer Science + Linguistics, BSLAS
jt4930@illinois.edu,Computer Science + Physics, BS
jt4347@illinois.edu,Computer Science + Economics, BSLAS
jt3347@illinois.edu,Computer Science + Bioengineering, BS
jt4311@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt4525@illinois.edu,Computer Science + Bioengineering, BS
jt2269@illinois.edu,Computer Science + Linguistics, BSLAS
jt2814@illinois.edu,Computer Science + Chemistry, BSLAS
jt4398@illinois.edu,Computer Science + Anthropology, BSLAS
jt2627@illinois.edu,Computer Science + Economics, BSLAS
jt1277@illinois.edu,Computer Science + Linguistics, BSLAS
jt4199@illinois.edu,Mathematics & Computer Science, BSLAS
jt2552@illinois.edu,Computer Science + Animal Sciences, BS
jt2059@illinois.edu,Computer Science + Economics, BSLAS
jt3248@illinois.edu,Computer Science + Chemistry, BSLAS
jt838@illinois.edu,Computer Science + Anthropology, BSLAS
jt563@illinois.edu,Computer Science + Music, BS
jt5462@illinois.edu,Computer Science + Education, BS
jt2369@illinois.edu,Mathematics & Computer Science, BSLAS
jt5246@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt4476@illinois.edu,Computer Science + Advertising, BS
jt2455@illinois.edu,Computer Science + Linguistics, BSLAS
jt3305@illinois.edu,Computer Science + Animal Sciences, BS
jt2052@illinois.edu,Statistics & Computer Science, BSLAS
jt4913@illinois.edu,Computer Science + Anthropology, BSLAS
jt5511@illinois.edu,Computer Science, BS
jt2217@illinois.edu,Computer Science, BS
jt4016@illinois.edu,Computer Science + Animal Sciences, BS
jt4654@illinois.edu,Computer Science + Music, BS
jt3384@illinois.edu,Computer Science + Crop Sciences, BS
jt956@illinois.edu,Computer Science + Music, BS
jt2620@illinois.edu,Computer Science + Crop Sciences, BS
jt3476@illinois.edu,Computer Science + Physics, BS
jt3456@illinois.edu,Computer Science + Chemistry, BSLAS
jt1877@illinois.edu,Computer Science + Music, BS
jt2674@illinois.edu,Computer Science + Economics, BSLAS
jt5192@illinois.edu,Computer Science + Advertising, BS
jt3477@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt2022@illinois.edu,Computer Science + Crop Sciences, BS
jt1912@illinois.edu,Computer Science + Animal Sciences, BS
jt951@illinois.edu,Computer Science + Anthropology, BSLAS
jt3967@illinois.edu,Computer Science + Chemistry, BSLAS
jt1566@illinois.edu,Statistics & Computer Science, BSLAS
jt3046@illinois.edu,Computer Science + Advertising, BS
jt1557@illinois.edu,Statistics & Computer Science, BSLAS
jt3536@illinois.edu,Computer Science, BS
jt2998@illinois.edu,Mathematics & Computer Science, BSLAS
jt5521@illinois.edu,Computer Science + Linguistics, BSLAS
jt2586@illinois.edu,Computer Engineering, BS
jt2608@illinois.edu,Computer Science + Anthropology, BSLAS
jt5410@illinois.edu,Computer Science + Crop Sciences, BS
jt1189@illinois.edu,Computer Science + Economics, BSLAS
jt3899@illinois.edu,Computer Science + Chemistry, BSLAS
jt2832@illinois.edu,Computer Science + Advertising, BS
jt2637@illinois.edu,Computer Science + Philosophy, BSLAS
jt5354@illinois.edu,Computer Science + Music, BS
jt5825@illinois.edu,Computer Science + Linguistics, BSLAS
jt772@illinois.edu,Mathematics & Computer Science, BSLAS
jt4046@illinois.edu,Computer Science + Animal Sciences, BS
jt4947@illinois.edu,Computer Science + Chemistry, BSLAS
jt2387@illinois.edu,Computer Science + Bioengineering, BS
jt3142@illinois.edu,Computer Science + Economics, BSLAS
jt5049@illinois.edu,Computer Science + Crop Sciences, BS
jt5546@illinois.edu,Computer Science + Bioengineering, BS
jt5074@illinois.edu,Computer Science + Chemistry, BSLAS
jt5984@illinois.edu,Mathematics & Computer Science, BSLAS
jt5726@illinois.edu,Computer Science + Economics, BSLAS
jt1789@illinois.edu,Computer Science + Physics, BS
jt1191@illinois.edu,Computer Science + Astronomy, BSLAS
jt4092@illinois.edu,Computer Science, BS
jt4029@illinois.edu,Computer Science + Advertising, BS
jt3400@illinois.edu,Computer Science + Education, BS
jt5747@illinois.edu,Computer Science + Advertising, BS
jt3969@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt3698@illinois.edu,Computer Science + Bioengineering, BS
jt2787@illinois.edu,Computer Science + Education, BS
jt3149@illinois.edu,Computer Science + Economics, BSLAS
jt4569@illinois.edu,Computer Science + Physics, BS
jt3074@illinois.edu,Computer Science + Chemistry, BSLAS
jt2004@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt2994@illinois.edu,Computer Engineering, BS
jt5834@illinois.edu,Computer Engineering, BS
jt372@illinois.edu,Computer Science + Music, BS
jt4436@illinois.edu,Computer Engineering, BS
jt47@illinois.edu,Computer Science + Physics, BS
jt3851@illinois.edu,Computer Science + Bioengineering, BS
jt5894@illinois.edu,Computer Science + Crop Sciences, BS
jt1125@illinois.edu,Computer Science, BS
jt4834@illinois.edu,Computer Science + Animal Sciences, BS
jt4106@illinois.edu,Mathematics & Computer Science, BSLAS
jt3735@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt3568@illinois.edu,Computer Science + Anthropology, BSLAS
jt4403@illinois.edu,Computer Science + Chemistry, BSLAS
jt2322@illinois.edu,Computer Science + Chemistry, BSLAS
jt1758@illinois.edu,Computer Science + Physics, BS
jt1119@illinois.edu,Computer Science + Education, BS
jt5185@illinois.edu,Computer Science + Advertising, BS
jt5218@illinois.edu,Computer Science + Geography & Geographic Information Science, BSLAS
jt4026@illinois.edu,Computer Science, BS
jt497@illinois.edu,Computer Science & Music, BS
jt2812@illinois.edu,Computer Science + Music, BS
jt761@illinois.edu,Mathematics & Computer Science, BSLAS
jt3890@illinois.edu,Computer Science + Crop Sciences, BS
jt3321@illinois.edu,Computer Science + Philosophy, BSLAS
jt224@illinois.edu,Mathematics & Computer Science, BSLAS
jt1747@illinois.edu,Computer Science & Music, BS
jt868@illinois.edu,Computer Science + Astronomy, BSLAS
